Date,Category,Description,Amount (INR),Status,Flag
2025-01-05,Travel,Cab to client meeting (Acme Corp),850,Pending,Awaiting approval
2025-01-08,Software,Figma annual subscription (team),72000,Approved,
2025-01-10,Travel,Flight to Mumbai - customer visit,8500,Pending,Awaiting approval
2025-01-10,Hotel,Mumbai stay - 1 night,6200,Pending,Awaiting approval
2025-01-12,Meals,Team lunch - sprint celebration,4800,Approved,
2025-01-15,Software,Notion team plan renewal,36000,Approved,
2025-01-18,Office,Standing desk for home office,22000,Pending,Policy check — home office equipment
2025-01-22,Travel,Cab to Acme Corp follow-up,750,Pending,Awaiting approval
2025-01-25,Training,Online PM certification course,15000,Pending,Awaiting approval
2025-01-28,Meals,Dinner with Deepak (Acme Corp),3200,Pending,Client entertainment — needs receipt
Total,,,169300,,INR 56500 pending approval
